ID,Name,Type,URL,DateAdded
40,Otros favoritos,folder,,2021-05-25T14:45:53.807987-05:00
39,Imported from Chrome,folder,,2021-05-25T14:45:53.807981-05:00
7,Música,folder,,2021-05-25T14:45:53.805131-05:00
6,IA,folder,,2021-05-25T14:45:53.804972-05:00
3,Favoritos del celular,folder,,2021-05-25T14:38:17.729529-05:00
2,Otros favoritos,folder,,2021-05-25T14:38:17.729527-05:00
1,Barra de favoritos,folder,,2021-05-25T14:38:17.729516-05:00
19,https://sites.google.com/up.edu.mx/ingeniera-up-aguascalientes/planes-de-estudio-y-horarios/inteligencia-artificial/4iia?authuser=0,url,https://sites.google.com/up.edu.mx/ingeniera-up-aguascalientes/planes-de-estudio-y-horarios/inteligencia-artificial/4iia?authuser=0,2021-05-12T14:40:19-05:00
31,ZCRM,url,https://encalientes.zcrm.cloud/dashboard,2021-05-09T19:48:53-05:00
38,Ecuaciones - Google Drive,url,https://drive.google.com/drive/u/0/folders/1LD7Nt3UqwzRY6kaQ0J-qoCPzFY7vHaz9,2021-04-06T23:09:07-05:00
37,EnCalientes,url,https://encalient.es/Manage#/orders/pending/438201,2021-04-05T03:26:24-05:00
36,Meet - wiq-gbaq-wci,url,https://meet.google.com/wiq-gbaq-wci,2021-04-05T03:15:44-05:00
28,P-Log-001-A Manual Atención al Cliente.xlsx - Hojas de cálculo de Google,url,https://docs.google.com/spreadsheets/d/1OcD-5X9jwkSErfpdDICPkdWSC8XePn1G/edit#gid=912270988,2021-04-02T03:40:27-06:00
34,"Encalientes_guía(app,web) - Documentos de Google",url,https://docs.google.com/document/d/13ed2-I6uZi2Q8TLD4YnrfD53EPA8jFxoN_U_N0yiccg/edit,2021-04-01T22:01:59-06:00
35,Encalientes_guía (atención_al_cliente) - Documentos de Google,url,https://docs.google.com/document/d/1-iXkxq32PJjj_cGQqgQwn8GYHQ5x2vXGzKIYNENbj8E/edit,2021-04-01T22:01:38-06:00
5,UP HW - Hojas de cálculo de Google,url,https://docs.google.com/spreadsheets/d/1XkOmFLHWD699aoucy9KVHCNKXrZLn5MCPfL8iBYA0is/edit#gid=1386834576,2021-04-01T17:05:17-06:00
30,https://encalient.es/Account/Login,url,https://encalient.es/Account/Login,2021-04-01T03:31:38-06:00
33,Conekta Admin,url,https://admin.conekta.com/?acceptance.field=created_at&acceptance.timeframe=seven_days&chargebacks.field=paid_at&chargebacks.timeframe=seven_days&sales.field=paid_at&sales.timeframe=seven_days&showAttempts=false,2021-04-01T03:19:19-06:00
32,Encalientes - Agente,url,https://encalientes.zendesk.com/agent/dashboard,2021-04-01T03:11:05-06:00
29,Comparte en WhatsApp,url,https://api.whatsapp.com/send?phone=+524491234567,2021-03-31T04:00:16-06:00
51,Comparte en WhatsApp,url,https://api.whatsapp.com/send?phone=+524491234567,2021-03-31T03:59:57-06:00
50,Documento sin título - Documentos de Google,url,https://docs.google.com/document/d/1gHHjASI-B-xXkY6lhdhUAi1g4MMnI994bUfATEW3D5A/edit,2021-03-09T17:58:36-06:00
49,CSES - Book Shop,url,https://cses.fi/problemset/task/1158,2021-03-05T05:23:55-06:00
48,Hipgive,url,https://hipgive.org/es,2021-03-02T04:18:55-06:00
47,Opiniones de Netflix | Lee opiniones sobre el servicio de www.netflix.com,url,https://es.trustpilot.com/review/www.netflix.com,2021-02-26T17:52:19-06:00
46,Ecuaciones diferenciales de primer orden,url,http://canek.azc.uam.mx/Ecuaciones/Teoria/2.PrimerOrden/TPrimerOrden.htm,2021-02-21T16:58:11-06:00
27,ICPC Quantum Computing Challenge,url,https://challenges.quantum-computing.ibm.com/icpc,2021-02-09T18:41:12-06:00
26,GPM Website,url,https://www.eorc.jaxa.jp/GPM/en/overview.html#s4d,2021-02-05T00:34:04-06:00
25,Big Software for SmallSats: Adapting cFS to CubeSat Missions,url,https://digitalcommons.usu.edu/cgi/viewcontent.cgi?article=3303&context=smallsat,2021-02-02T16:53:04-06:00
