TargetPath,URL,TotalBytes,StartTime,EndTime,MimeType
C:\Users\scago\Documents\S.O\tacOS\TacOS.iso,https://drive.google.com/drive/folders/1OY7lso8yfNJz0MF4a57i0QtKvne01B4z,3298656256,2021-06-11T03:58:25.659404-05:00,2021-06-11T04:44:31.122166-05:00,application/x-cd-image
C:\Users\scago\Downloads\(2012) Bianca.Come.Il.Latte.Rossa.Come.Il.Sangue.2013.iTALiAN.AC3.BRRip.XviD-GBM[MT].avi,https://drive.google.com/u/0/uc?export=download&confirm=xFDj&id=140mwjs7fSJANKIwOqibbY8Yn-qYOU_aV,2062331904,2021-08-15T22:33:30.293234-05:00,2021-08-15T23:42:53.73057-05:00,video/x-msvideo
C:\Users\scago\Downloads\as-installer-7.0.2397-full.exe,https://www.filehorse.com/es/descargar-atmel-studio/descargar/,915992632,2021-09-07T15:35:06.912317-05:00,2021-09-07T16:23:16.337626-05:00,application/octet-stream
C:\Users\scago\Downloads\SSMS-Setup-ENU.exe,https://docs.microsoft.com/en-us/sql/ssms/download-sql-server-management-studio-ssms?redirectedfrom=MSDN&view=sql-server-ver15,673674032,2021-08-20T19:06:27.156924-05:00,2021-08-20T19:10:00.077668-05:00,application/octet-stream
C:\Users\scago\Downloads\Programas\Anaconda3-2021.11-Windows-x86_64.exe,https://www.anaconda.com/products/individual#windows,535052832,2022-03-11T17:59:33.629634-06:00,2022-03-11T18:04:02.305827-06:00,application/octet-stream
C:\Users\scago\Downloads\Anaconda3-2021.05-Windows-x86_64.exe,https://www.anaconda.com/products/individual,500375944,2021-09-25T23:44:10.325489-05:00,2021-09-25T23:49:10.78061-05:00,application/octet-stream
C:\Users\scago\Downloads\Programas\goland-2021.3.2.exe,https://www.jetbrains.com/es-es/go/download/download-thanks.html,418369712,2022-01-04T18:07:00.84011-06:00,2022-01-04T18:16:46.213071-06:00,binary/octet-stream
C:\Users\scago\Downloads\sibelius-7-0-3-es-en-win.exe,https://sibelius.uptodown.com/windows/descargar,400529504,2021-10-03T16:47:15.153664-05:00,2021-10-03T17:03:27.532223-05:00,application/octet-stream
C:\Users\scago\Downloads\2022-02-04_12-53-52.mkv,https://drive.google.com/u/0/uc?id=1JsQTaCx8idPtOW3eutiH0hVtpURpRJvB&export=download,390250751,2022-02-08T20:12:18.358563-06:00,2022-02-08T20:15:13.404542-06:00,video/x-matroska
C:\Users\scago\Downloads\Programas\PBIDesktopSetup_x64.exe,https://www.microsoft.com/es-mx/download/confirmation.aspx?id=58494,379406880,2022-02-10T01:05:00.670527-06:00,2022-02-10T01:07:51.252492-06:00,application/octet-stream
C:\Users\scago\Downloads\sibelius,https://www.softonic.com/descargar/sibelius/windows/post-descarga,377740448,2021-10-03T03:37:49.688611-05:00,2021-10-03T03:47:02.389659-05:00,binary/octet-stream
C:\Users\scago\Downloads\pycharm-community-2021.3.2.exe,https://www.jetbrains.com/es-es/pycharm/download/download-thanks.html?platform=windows&code=PCC,377284568,2022-03-09T23:18:04.603687-06:00,2022-03-09T23:21:21.170899-06:00,binary/octet-stream
C:\Users\scago\Documents\GitHub\School\Semestres\Desarrollo Web\mongodb-windows-x86_64-5.0.3-signed.msi,https://www.mongodb.com/try/download/community,289393152,2021-10-05T02:19:31.897977-05:00,2021-10-05T02:23:14.545037-05:00,application/x-msi
C:\Users\scago\Downloads\gimp-2.10.24-setup-3.exe,https://www.gimp.org/downloads/,253914240,2021-08-06T23:44:40.982255-05:00,2021-08-06T23:57:20.22203-05:00,application/octet-stream
C:\Users\scago\Downloads\gimp-2.10.12-setup-3.exe,http://www.gimp.org.es/descargar-gimp.html,235281024,2021-08-04T00:32:37.553846-05:00,2021-08-04T00:52:14.205442-05:00,application/octet-stream
C:\Users\scago\Downloads\Clase 19-08-2021.mp4,https://drive.google.com/u/0/uc?id=18hQoqLDSskOpckmdfxldOpk3GGIh28YW&export=download,234718615,2021-08-20T17:23:11.564174-05:00,2021-08-20T17:24:26.968661-05:00,video/mp4
C:\Users\scago\Downloads\Programas\dotnet-sdk-6.0.200-win-x64.exe,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/sdk-6.0.200-windows-x64-installer?journey=vs-code,198656112,2022-02-20T01:54:30.402204-06:00,2022-02-20T01:56:53.241132-06:00,application/octet-stream
C:\Users\scago\Downloads\blender-2.93.1-windows-x64.msi,https://www.blender.org/thanks/,191508480,2021-08-04T00:32:51.898792-05:00,2021-08-04T00:47:46.392088-05:00,application/octet-stream
C:\Users\scago\Downloads\VID_20211014_132239.mp4,https://drive.google.com/drive/u/0/my-drive,160244983,2021-10-14T19:34:14.601163-05:00,2021-10-14T19:34:51.905667-05:00,video/mp4
C:\Users\scago\Downloads\Programas\GitKrakenSetup.exe,https://www.gitkraken.com/download/windows64,158019256,2021-12-29T16:34:54.331743-06:00,2021-12-29T16:39:04.269632-06:00,application/octet-stream
C:\Users\scago\Downloads\RStudio-1.4.1717.exe,https://www.rstudio.com/products/rstudio/download/#download,156183344,2021-08-23T04:08:17.200112-05:00,2021-08-23T04:21:06.194742-05:00,application/octet-stream
C:\Users\scago\Downloads\go1.17.3.windows-amd64.msi,https://golang.org/dl/,130314240,2021-11-22T16:15:30.31991-06:00,2021-11-22T16:17:02.389901-06:00,application/octet-stream
C:\Users\scago\Downloads\Postman-win64-8.12.5-Setup.exe,https://www.postman.com/downloads/,128301440,2021-11-05T00:33:36.544432-06:00,2021-11-05T00:36:38.079752-06:00,application/octet-stream
C:\Users\scago\Downloads\GitHubDesktopSetup-x64.exe,https://desktop.github.com/,115616432,2021-08-18T01:14:37.429971-05:00,2021-08-18T01:15:58.090533-05:00,application/octet-stream
C:\Users\scago\Documents\GitHub\IA_School\Semestres\Aprendizaje Máquina\codigos\datasets\Datasets-20220223.zip,https://upmoodlecloud.up.edu.mx/mod/folder/view.php?id=307857,113201357,2022-02-24T00:47:22.549059-06:00,2022-02-24T00:48:52.704071-06:00,application/zip
C:\Users\scago\Downloads\Programas\UnityHubSetup.exe,https://unity.com/es/download#how-get-started,108713752,2022-01-25T23:12:19.873163-06:00,2022-01-25T23:39:00.414612-06:00,application/x-msdownload
C:\Users\scago\Downloads\VirtualBox-6.1.22-144080-Win.exe,https://www.virtualbox.org/wiki/Downloads,108114104,2021-06-11T04:33:12.247257-05:00,2021-06-11T04:45:50.984652-05:00,application/octet-stream
C:\Users\scago\Downloads\inkscape-1.1-x64.exe,https://inkscape.org/es/release/inkscape-1.1/windows/64-bit/exe/dl/,95522204,2021-08-04T00:35:35.298107-05:00,2021-08-04T00:40:35.349976-05:00,application/octet-stream
C:\Users\scago\Downloads\Programas\Notion Setup 2.0.18.exe,https://www.notion.so/desktop/windows/download,93946168,2022-01-04T17:43:36.906088-06:00,2022-01-04T17:54:25.152614-06:00,application/x-msdos-program
C:\Users\scago\Downloads\R-4.1.2-win.exe,https://cran.r-project.org/bin/windows/base/,89771528,2021-12-01T22:52:30.420441-06:00,2021-12-01T22:56:50.184059-06:00,application/x-msdos-program
C:\Users\scago\Downloads\R-4.1.1-win.exe,https://cran.r-project.org/bin/windows/base/,89550304,2021-08-19T16:34:57.108284-05:00,2021-08-19T16:39:42.992297-05:00,application/x-msdos-program
C:\Users\scago\Downloads\TacOS\Keyboard.mp3,https://drive.google.com/drive/folders/1JVLr3906L5_MeHgoCPPpAEiPaZCsHQjl,88123486,2021-06-11T23:48:32.239976-05:00,2021-06-12T00:00:56.166016-05:00,audio/mpeg
C:\Users\scago\Downloads\DiscordSetup.exe,https://discord.com/,82973864,2021-11-04T19:14:51.900751-06:00,2021-11-04T19:17:22.740958-06:00,application/x-msdownload
C:\Users\scago\Downloads\Programas\DiscordSetup.exe,https://discord.com/api/download?platform=win,82973864,2022-01-04T17:44:03.631187-06:00,2022-01-04T17:48:29.374085-06:00,application/x-msdownload
C:\Users\scago\Downloads\Programas\Skype-8.79.0.95.exe,https://www.skype.com/es/get-skype/,82218208,2021-12-29T16:13:03.574777-06:00,2021-12-29T16:14:25.005182-06:00,application/x-msdownload
C:\Users\scago\Documents\Sol_Beca\Skype-8.72.0.94.exe,https://www.skype.com/es/get-skype/,80831264,2021-06-05T19:01:01.426394-05:00,2021-06-05T19:02:06.951604-05:00,application/x-msdownload
C:\Users\scago\Downloads\PROTEUS_7.7.rar,https://mega.nz/file/Dw9DGSab#Q-Pqk0dh2SiF_lz4P2JtrbpoCEKem5rWQhZ2AxmCguM,68635685,2021-09-07T15:45:54.310946-05:00,2021-09-07T15:45:59.780092-05:00,application/octet-stream
C:\Users\scago\Downloads\TacOS\zoom_1.mp4,https://drive.google.com/drive/folders/1JVLr3906L5_MeHgoCPPpAEiPaZCsHQjl,66116829,2021-06-11T23:55:05.593948-05:00,2021-06-12T00:00:02.026419-05:00,video/mp4
C:\Users\scago\Downloads\Laminas finales.pdf,https://web.whatsapp.com/#,57844083,2021-08-12T03:17:45.126281-05:00,2021-08-12T03:21:54.607835-05:00,application/pdf
C:\Users\scago\Documents\GitHub\IA_School\Semestres\Desarrollo Web\Trabajo en Clase\first-app.zip,https://web.whatsapp.com/#,54011100,2021-11-10T20:14:52.248297-06:00,2021-11-10T20:15:16.409281-06:00,application/zip
C:\Users\scago\Documents\GitHub\School\Semestres\Bases de Datos\Restaurar_BD\AdventureWorks2017.bak,https://upmoodlecloud.up.edu.mx/mod/folder/view.php?id=175490,50286592,2021-10-22T01:14:55.151123-05:00,2021-10-22T01:15:26.483369-05:00,application/octet-stream
C:\Users\scago\Downloads\Programas\opencv_python-4.1.2+contrib-cp35-cp35m-win_amd64.whl,https://www.lfd.uci.edu/~gohlke/pythonlibs/#opencv,46924085,2022-03-11T23:13:55.468215-06:00,2022-03-11T23:14:44.628887-06:00,application/octet-stream
C:\Users\scago\Downloads\Programas\mysql-workbench-community-8.0.28-winx64.msi,https://dev.mysql.com/downloads/file/?id=509428,44810240,2022-01-29T01:30:06.018103-06:00,2022-01-29T01:30:44.759554-06:00,application/octet-stream
C:\Users\scago\Downloads\Videolan.exe,https://get.videolan.org/vlc/3.0.16/win64/vlc-3.0.16-win64.exe,42762464,2021-08-24T13:31:01.046886-05:00,2021-08-24T13:32:49.062141-05:00,application/octet-stream
C:\Users\scago\Downloads\Bitcou API (2022-02-18 06_14 GMT-8).mp3,https://web.whatsapp.com/#,37719460,2022-02-24T02:52:58.13439-06:00,2022-02-24T02:53:07.027953-06:00,audio/mpeg
C:\Users\scago\Downloads\BlueJeansInstaller.exe,https://www.bluejeans.com/es/descargas,34870656,2021-08-27T15:50:08.524216-05:00,2021-08-27T15:50:25.167905-05:00,application/x-msdownload
C:\Users\scago\Downloads\TOEFL Heinemann Student Book.pdf,https://zipextractor.app/,34094020,2021-06-22T16:58:04.45087-05:00,2021-06-22T16:58:10.828781-05:00,application/octet-stream
C:\Users\scago\Downloads\Programas\PowerBiReportBuilder.es.msi,https://www.microsoft.com/es-ES/download/confirmation.aspx?id=58158,33021952,2022-01-26T23:38:20.779035-06:00,2022-01-26T23:39:13.478699-06:00,application/octet-stream
C:\Users\scago\Downloads\node-v14.17.6-x64.msi,https://nodejs.org/es/,30535680,2021-09-22T01:15:09.005486-05:00,2021-09-22T01:16:09.921563-05:00,application/octet-stream
C:\Users\scago\Downloads\Programas\TREBEL Music MP3 Podcasts_v4.9.0_apkpure.com.xapk,https://m.apkpure.com/trebel-music-mp3-podcasts/com.mmm.trebelmusic/download?from=details,29609928,2022-03-01T06:36:28.24371-06:00,2022-03-01T06:37:49.454352-06:00,application/xapk-package-archive
C:\Users\scago\Downloads\Programas\node-v16.14.0-x64.msi,https://nodejs.org/es/download/,28426240,2022-03-08T04:55:39.888917-06:00,2022-03-08T04:56:25.048187-06:00,application/octet-stream
C:\Users\scago\Downloads\Estefania Azpiroz Loera 0205297 ADM DE OPERACIONES 3 PARCIAL.pdf,https://web.whatsapp.com/#,28045745,2021-06-08T16:22:15.812987-05:00,2021-06-08T16:22:20.734836-05:00,application/pdf
C:\Users\scago\Downloads\Programas\cpeditor-6.9.4-windows-x86-setup.exe,https://github.com/cpeditor/cpeditor/releases/download/6.9.4/cpeditor-6.9.4-windows-x86-setup.exe,26225911,2022-02-06T02:26:38.45123-06:00,2022-02-06T02:27:36.281364-06:00,application/octet-stream
C:\Users\scago\Downloads\joust-master.zip,https://minhaskamal.github.io/DownGit/#/home?url=https:%2F%2Fgithub.com%2Fnicohman%2Fjoust,24577090,2022-02-27T05:21:32.511799-06:00,2022-02-27T05:22:40.491218-06:00,application/zip
C:\Users\scago\Documents\GitHub\IA_School\Semestres\Patrones de Diseño y Arquitectura de Software\Libros\Roger S. Pressman_ Bruce R. Maxin - Software Engineering_ A Practitioner’s Approach-McGraw-Hill Education (2014).pdf,http://ce.sharif.edu/courses/98-99/2/ce474-2/resources/root/Roger%20S.%20Pressman_%20Bruce%20R.%20Maxin%20-%20Software%20Engineering_%20A%20Practitioner%E2%80%99s%20Approach-McGraw-Hill%20Education%20(2014).pdf,24046416,2022-01-27T02:52:56.753273-06:00,2022-01-27T02:53:02.362607-06:00,application/pdf
C:\Users\scago\Documents\GitHub\IA_School\Semestres\Patrones de Diseño y Arquitectura de Software\Libros\head-first-design-patterns-compressed.pdf,https://longbiao.spatial-crowdsensing.com/courses/scad/files/head-first-design-patterns-compressed.pdf,24025180,2022-01-27T02:52:21.441639-06:00,2022-01-27T02:52:43.4014-06:00,application/pdf
C:\Users\scago\Downloads\heroku-x64.exe,https://devcenter.heroku.com/articles/heroku-cli#download-and-install,23347632,2021-11-24T01:09:30.078891-06:00,2021-11-24T01:12:18.675105-06:00,application/octet-stream
C:\Users\scago\Documents\GitHub\IA_School\Semestres\Aprendizaje Máquina\codigos\Ags\Data\denue_inegi.csv,https://upmoodlecloud.up.edu.mx/mod/folder/view.php?id=290704,22884963,2022-02-09T23:33:12.140385-06:00,2022-02-09T23:34:17.357899-06:00,text/csv
C:\Users\scago\Documents\GitHub\IA_School\Semestres\Aprendizaje Máquina\codigos\Data Analysis\Datos\denue_inegi.csv,https://upmoodlecloud.up.edu.mx/mod/folder/view.php?id=290704,22884963,2022-02-02T23:04:17.203648-06:00,2022-02-02T23:04:38.220895-06:00,text/csv
C:\Users\scago\Documents\GitHub\IA_School\Semestres\Aprendizaje Máquina\codigos\datasets\billetes.part1.rar,https://upmoodlecloud.up.edu.mx/mod/folder/view.php?id=307857,20971520,2022-03-02T23:13:59.919073-06:00,2022-03-02T23:15:03.294198-06:00,application/x-rar-compressed
C:\Users\scago\Documents\GitHub\IA_School\Semestres\Aprendizaje Máquina\codigos\datasets\billetes.part2.rar,https://upmoodlecloud.up.edu.mx/mod/folder/view.php?id=307857,20971520,2022-03-02T23:14:09.645571-06:00,2022-03-02T23:15:05.037791-06:00,application/x-rar-compressed
C:\Users\scago\Documents\GitHub\IA_School\Semestres\Aprendizaje Máquina\codigos\datasets\billetes.part3.rar,https://upmoodlecloud.up.edu.mx/mod/folder/view.php?id=307857,20971520,2022-03-02T23:14:15.273122-06:00,2022-03-02T23:15:05.489222-06:00,application/x-rar-compressed
C:\Users\scago\Documents\GitHub\IA_School\Semestres\Aprendizaje Máquina\codigos\datasets\billetes.part4.rar,https://upmoodlecloud.up.edu.mx/mod/folder/view.php?id=307857,20971520,2022-03-02T23:14:18.801416-06:00,2022-03-02T23:15:06.678945-06:00,application/x-rar-compressed
C:\Users\scago\Documents\GitHub\IA_School\Semestres\Aprendizaje Máquina\codigos\datasets\billetes.part5.rar,https://upmoodlecloud.up.edu.mx/mod/folder/view.php?id=307857,20971520,2022-03-02T23:14:23.785262-06:00,2022-03-02T23:15:08.472073-06:00,application/x-rar-compressed
