TargetPath,URL,TotalBytes,StartTime,EndTime,MimeType
C:\Users\scago\Downloads\PRIMER ACTO FUNCIÓN FINAL_converted.mp4,https://drive.google.com/drive/folders/1x4B2MJ8PVQogIEERR5xciGujQtBSUMog,5412366814,2022-10-23T00:05:10.498182-05:00,1601-01-01T00:00:00-06:00,video/mp4
C:\Users\scago\Downloads\kali-linux-2020.4-installer-amd64.iso,https://www.kali.org/downloads/,4300369920,2021-02-02T03:37:06.498282-06:00,2021-02-02T04:57:42.985793-06:00,application/octet-stream
C:\Users\scago\Downloads\kali-linux-2021.1-installer-amd64.iso,https://www.kali.org/downloads/,4291854336,2021-05-23T02:05:26.183069-05:00,2021-05-23T03:02:13.413852-05:00,application/octet-stream
C:\Users\scago\Downloads\SEGUNDO ACTO FUNCIÓN FINAL_converted.mp4,https://drive.google.com/drive/folders/1x4B2MJ8PVQogIEERR5xciGujQtBSUMog,3721334496,2022-10-23T00:05:15.688221-05:00,1601-01-01T00:00:00-06:00,video/mp4
C:\Users\scago\Downloads\ubuntu-20.04.1-desktop-amd64.iso,https://ubuntu.com/download/desktop/thank-you?version=20.04.1&architecture=amd64,2785017856,2020-09-19T01:35:16.816864-05:00,2020-09-19T03:16:52.507702-05:00,application/x-iso9660-image
C:\Users\scago\Downloads\ACTO 1 TCF2_converted(1).mp4,https://drive.google.com/drive/folders/1x4B2MJ8PVQogIEERR5xciGujQtBSUMog,1384327067,2022-07-03T03:24:09.212715-05:00,2022-07-03T03:33:17.82325-05:00,video/mp4
C:\Users\scago\Downloads\android-ndk-r21b-windows-x86_64.zip,https://developer.android.com/ndk/downloads?hl=es-419,1079474640,2020-11-09T14:24:53.604035-06:00,2020-11-09T16:22:18.270395-06:00,application/zip
C:\Users\scago\Downloads\android-ndk-r21-windows-x86_64.zip,https://androidsdkoffline.blogspot.com/p/android-ndk-side-by-side-direct-download.html,1057294207,2022-10-27T05:06:17.862995-05:00,2022-10-27T14:24:05.819475-05:00,application/x-zip-compressed
C:\Users\scago\Downloads\ACTO 2 TCF2_converted.mp4,https://drive.google.com/drive/folders/1x4B2MJ8PVQogIEERR5xciGujQtBSUMog,996729457,2022-07-03T03:24:24.516618-05:00,2022-07-03T03:32:05.261665-05:00,video/mp4
C:\Users\scago\Downloads\android-studio-2021.2.1.16-windows.exe,https://developer.android.com/studio,974525224,2022-08-19T03:19:16.905553-05:00,2022-08-19T03:26:48.368827-05:00,application/x-msdownload
