Name,Description,Version,HomepageURL
__MSG_99413348305232894__,__MSG_8636360788868898667__,1.2008.1701,
__MSG_appName__,__MSG_appDescription__,10.22.1,
__MSG_APP_NAME__,__MSG_APP_DESCRIPTION__,1.0.0.6,
__MSG_appName__,__MSG_appDesc__,1.0.5,
__MSG_appName__,__MSG_appDesc__,4.4.0,
__MSG_extName__,__MSG_extDescription__,3.9.7,
Snapverter,Convert classroom papers to accessible files.,2.0.1,
__MSG_web2pdfExtnName__,__MSG_web2pdfExtnDescriptionChrome__,15.1.3.28,
__MSG_extName__,__MSG_extDesc__,1.49.1,
scrible Edu,scrible provides research tools. scrible Edu adds writing tools. 1-Click Citations & Bibliographies + Google Drive/Docs integration.,1.0.7,
__MSG_appName__,__MSG_appDesc__,0.2,
Secured Search,With Secured Search you can safely search the web! Use the secured/malicious shields to safely navigate to your desired contents,10.1.4.55,
__MSG_CHROME_HANGOUTS_SHORT_NAME__,__MSG_CHROME_APP_DESCRIPTION__,2021.818.419.1,
__MSG_appName__,__MSG_appDesc__,1.8,
scrible,"Smarter Web reading & research. Annotate, bookmark, save, manage & share online articles.",1.0.3,
__MSG_CHROME_HANGOUTS_SHORT_NAME__,__MSG_CHROME_EXT_DESCRIPTION__,2022.407.1237.1,
