"","V1","V2","V3"
"1",-0.5,0.25,-1
"2",1.40432098765432,1.97211743636641,2.80864197530864
"3",1.01707575598227,1.03444309340691,2.03415151196455
"4",0.575160732669647,0.330809868405085,1.15032146533929
"5",0.0776041926201791,0.00602241071222987,0.155208385240358
"6",-0.155003734460678,0.0240261576967565,-0.310007468921357
"7",-1.35668314022913,1.84058914298197,-2.71336628045825
"8",0.0398806162476768,0.00159046355229446,0.0797612324953536
"9",0.0194331110903797,0.000377645806651037,0.0388662221807593
"10",0.00917110930371956,8.41092458607714e-05,0.0183422186074391
"11",0.00425509482725271,1.81058319889127e-05,0.00851018965450541
"12",0.0019577170707883,3.8326561292559e-06,0.00391543414157659
"13",0.000897144022376741,8.04867396886319e-07,0.00179428804475348
"14",0.000410365819108849,1.68400105492876e-07,0.000820731638217698
"15",0.000187547119675543,3.51739220985926e-08,0.000375094239351087
"16",8.56801287055892e-05,7.34108445500633e-09,0.000171360257411178
"17",3.91356253050187e-05,1.53159716801482e-09,7.82712506100374e-05
"18",1.78742983562327e-05,3.19490541727623e-10,3.57485967124654e-05
"19",8.16337104473384e-06,6.66406268139988e-11,1.63267420894677e-05
"20",3.72822980953254e-06,1.3899697512687e-11,7.45645961906508e-06
"21",1.70267764699445e-06,2.89911116957455e-12,3.4053552939889e-06
"22",7.77607878071492e-07,6.04674012038849e-13,1.55521575614298e-06
"23",3.55130656777038e-07,1.2611778338289e-13,7.10261313554075e-07
"24",1.62186744111665e-07,2.63045399655426e-14,3.24373488223329e-07
"25",7.40700093409761e-08,5.48636628377229e-15,1.48140018681952e-07
"26",3.38274589948061e-08,1.14429698204529e-15,6.76549179896121e-08
"27",1.54488559062874e-08,2.38667148813231e-16,3.08977118125748e-08
"28",7.05542621919313e-09,4.97790391344779e-17,1.41108524383863e-08
"29",3.2221828401851e-09,1.03824622555833e-17,6.4443656803702e-09
